Name,Ticker,"Sub-Sector","Market Cap","Close Price","Value Momentum Rank","Price to Intrinsic Value Rank","Price Momentum Rank","Fundamental Score","Earnings Quality Rank"
PG Foils Ltd,PGFOILQ,"Packaging","260.07975","221","40","100","17",,"7"
Airan Ltd,AIRAN,"IT Services & Consulting","260.0416","20.4","10",,"4","6.65","66"
Scooters India Ltd,SCOOTER,"Three Wheelers","259.809503135","29.61","16",,"40",,
India Gelatine & Chemicals Ltd,INDGELA,"Commodity Chemicals","259.436334","370","87","49","94",,"68"
Alankit Ltd,ALANKIT,"Investment Banking & Brokerage","259.3646055","11.3","1",,"11",,"39"
IL & FS Investment Managers Ltd,IVC,"Asset Management","259.0770105","8.35","80",,"45",,"32"
Caprihans India Ltd,CAPRIHANS,"Commodity Chemicals","258.542219135","203","70","89","55",,"60"
Modern Insulators Ltd,MODINSU,"Electrical Components & Equipments","258.2542842","57.19","94","97","76",,"31"
Standard Capital Markets Ltd,STANCAP,"Consumer Finance","256.7115239","54.29",,,,,
Greenchef Appliances Ltd,GREENCHEF,"Home Electronics & Appliances","256.572036","107",,,,,
SPEL Semiconductor Ltd,SPELS,"Electronic Equipments","255.997926093","54.95",,,,,
Trans Financial Resources Ltd,LASTMILE,,"255.9183192","217.25","42",,"66",,"97"
Kinetic Engineering Ltd,KINETICENG,"Auto Parts","255.7111725","129.2","38",,"61",,"23"
Vijay Solvex Ltd,VIJSOLX,"Agro Products","255.26871161999998","832",,,"12",,
Bharat Road Network Ltd,BRNL,"Roads","255.208","30.4","22",,"21",,"56"
Rudra Global Infra Products Ltd,RUDRA,"Iron & Steel","254.47194780799998","104.07","63","56","49",,"91"
Riddhi Siddhi Gluco Biols Ltd,RIDDHI,"Commodities Trading","253.99862625","355","63","97","11",,"32"
Jay Shree Tea and Industries Ltd,JAYSREETEA,"Tea & Coffee","253.97750696","88.6","33","94","16","1.99626865671642","4"
Tembo Global Industries Ltd,TEMBO,"Iron & Steel","253.49852118","228.5","79",,"98",,"24"
Saraswati Commercial (India) Ltd,ZSARACOM,"Specialized Finance","253.14600312","2390","73","100","12",,"47"
MK Exim (India) Ltd,MKEXIM,"Textiles","252.2953125","94.1","57","76","52",,"34"
Bhartiya International Ltd,BIL,"Apparel & Accessories","251.95514255999998","207.6","76",,"40",,"22"
DHP India Ltd,DHPIND,"Industrial Machinery","251.895","843","64","100","29",,"21"
Bharat Parenterals Ltd,BPLPHARMA,"Pharmaceuticals","251.83318426","433","48","95","24",,"7"
Rajnandini Metal Ltd,RAJMET,"Metals - Diversified","251.5968","9","6",,"16",,"17"
Kanpur Plastipack Ltd,KANPRPLA,"Packaging","251.1610686","115.3","68","98","32","4.925","20"
Abans Enterprises Ltd,ABANSENT,"Commodities Trading","251.095968","179.7","99","90","96",,"33"
SAH Polymers Ltd,SAH,"Commodity Chemicals","250.09222","98.9",,,,,"1"
Fourth Dimension Solutions Ltd,4THDIM,"IT Services & Consulting","249.99254065","15.05","43",,"51",,"1"
PVP Ventures Ltd,PVP,"Real Estate","249.97871780999998","9.95","82",,"53",,"33"
QMS Medical Allied Services Ltd,QMSMEDI,"Hospitals & Diagnostic Centres","249.81075","143.2",,"62",,,"20"
Sarveshwar Foods Ltd,SARVESHWAR,"Packaged Foods & Meats","248.755236","79.8",,,"32",,
International Travel House Ltd,ITHL,"Hotels, Resorts & Cruise Lines","248.549005","312.85","51",,"61",,"20"
Nile Ltd,NILE,"Metals - Lead","247.986959","824.9","87","97","57",,"44"
Emami Realty Ltd,EMAMIREAL,"Real Estate","247.49903405999999","65.5","29","76","32","4.1","66"
Harrisons Malayalam Ltd,HARRMALAYA,"Agro Products","247.025595925","136.15","62","93","14","5.41666666666667","57"
Bambino Agro Industries Ltd,BAMBINO,"FMCG - Foods","246.95276640999998","305","27","62","22",,"53"
Veefin Solutions Ltd,VEEFIN,,"246.04997298","120.18",,,,,
Videocon Industries Ltd,VIDEOIND,"Home Electronics & Appliances","245.507931654716","7.35",,,,,
Vital Chemtech Ltd,VITAL,"Commodity Chemicals","244.30122","99",,,,,"9"
Raghuvansh Agrofarms Ltd,RAFL,"Agro Products","244.1905995","204.9",,"33",,,"9"
Ashapuri Gold Ornament Ltd,AGOL,"Precious Metals, Jewellery & Watches","242.986392","9.88","49",,"65",,"20"
SBI-ETF Nifty Bank,SETFNIFBK,"Equity","242.866097175","465.38",,,,,
Nitin Castings Ltd,NITINCAST,"Metals - Iron","242.74789595","466.95",,,,,"83"
Industrial Investment Trust Ltd,IITL,"Asset Management","241.258785","105.45","81",,"87",,"9"
Panchmahal Steel Ltd,PANCHMAHQ,"Iron & Steel","241.24547020500003","126.05","86","100","43",,"70"
Mangalam Seeds Ltd,MSL,"Seeds","241.12426968000003","230.55","54","24","72",,"5"
Kaira Can Co Ltd,KAIRA,"Packaging","240.930299575","2649","54","47","53",,"86"
Alpine Housing Development Corporation Limited,ALPINEHOU,"Real Estate","240.7743822","137.65","68",,"87",,"54"
Rachana Infrastructure Ltd,RILINFRA,"Construction & Engineering","240.19055","122.65",,,,,
Indo Thai Securities Ltd,INDOTHAI,"Investment Banking & Brokerage","240","239.05","66","61","72","4.21","22"
Commercial Syn Bags Ltd,COMSYN,"Packaging","239.9529132","59.88","40","91","19",,"27"
Ginni Filaments Ltd,GINNIFILA,"Textiles","239.391931675","28.2","61","100","30",,"20"
RPP Infra Projects Ltd,RPPINFRA,"Construction & Engineering","238.93626015","64","88",,"67","4.95952380952381","81"
Riddhi Corporate Services Ltd,RIDDHICORP,"IT Services & Consulting","238.348695","200.8","7","37","12",,"10"
Par Drugs and Chemicals Ltd,PAR,"Pharmaceuticals","238.27927614","196.4","40","67","40",,"86"
Manomay Tex India Ltd,MANOMAY,"Textiles","238.243302","133.95",,"55",,,"64"
Indian Terrain Fashions Ltd,INDTERRAIN,"Apparel & Accessories","238.067806875","53.45","63",,"29","2.53235294117647","56"
MEP Infrastructure Developers Ltd,MEP,"Roads","237.56263604499998","12.45","40",,"9","4.875","32"
K M Sugar Mills Ltd,KMSUGAR,"Sugar","237.3604386","26.6","67","100","29","4.89328358208955","13"
Priti International Ltd,PRITI,"Home Furnishing","236.79171464","213.95","16",,"41",,"95"
ICICI Prudential Nifty Low Vol 30 ETF,ICICILOVOL,"Equity","235.24006723000002","162.26",,,,,
Super House Ltd,SUPERHOUSE,"Footwear","234.226125","212.65","82","100","53","5.71885245901639","27"
Murudeshwar Ceramics Ltd,MURUDCERA,"Building Products - Ceramics","233.665803","40.25","81",,"57",,"15"
Aaron Industries Ltd,AARON,"Heavy Electrical Equipments","233.62202114000002","231.05","78","25","98",,"21"
Shri Bajrang Alliance Ltd,SHBAJRG,"Iron & Steel","233.595","253","82","100","39",,"14"
Raj Television Network Ltd,RAJTV,"TV Channels & Broadcasters","232.57178111999997","44.85","6",,"11","5.20384615384615","23"
Aban Offshore Ltd,ABAN,"Oil & Gas - Equipment & Services","232.29398554000002","39.65","65",,"45","5","55"
Graviss Hospitality Ltd,GRAVISSHO,"Hotels, Resorts & Cruise Lines","232.078473285","32.85","80",,"68",,"15"
Uday Jewellery Industries Ltd,UDAYJEW,"Precious Metals, Jewellery & Watches","231.670388","103.75","16",,"35",,"9"
Latteys Industries Ltd,LATTEYS,"Industrial Machinery","231.1332165","33.9","72",,"96",,"88"
RRIL Ltd,RRIL,,"230.307151","18.81","61",,"70",,"15"
Sejal Glass Ltd,SEJALLTD,"Building Products - Glass","229.8255","232.5","20",,"49",,"1"
Essar Shipping Ltd,ESSARSHPNG,"Logistics","229.74343992","11.2","90",,"73",,"72"
Suraj Products Ltd,SURAJ,"Iron & Steel","229.368","207","97","97","89",,"47"
Shera Energy Ltd,SHERA,"Metals - Diversified","228.453178675","98.95",,"62",,,"56"
Atam Valves Ltd,ATAM,,"228.31146","210.4",,,,,"10"
Shree Rama Multi-Tech Ltd,SHREERAMA,"Plastic Products","228.23028855","17.95","16",,"44","4.67","10"
Maral Overseas Ltd,MARALOVER,"Textiles","227.46384","54.65","78","100","33","4.96065573770492","40"
DRS Dilip Roadlines Ltd,DRSDILIP,"Logistics","227.4422853","151",,,,,"68"
All E Technologies Ltd,ALLETEC,"IT Services & Consulting","227.18448","113.5",,"70",,,"99"
Dhunseri Tea & Industries Ltd,DTIL,"Tea & Coffee","225.9096805","216.8","67","100","19","4.61492537313433","26"
Calcom Vision Ltd,CALCOM,"Electrical Components & Equipments","225.54720835","171.9","33",,"55",,"10"
Ashnisha Industries Ltd,ASHNI,"Iron & Steel","225.423","23.37","66",,"91",,"2"
Mitsu Chem Plast Ltd,MITSU,"Commodity Chemicals","225.093627","187","28","75","20",,"57"
Hemant Surgical Industries Ltd,HSIL,,"224.46","217.95",,"28",,,"99"
MOS Utility Ltd,MOS,"Online Services","224.420274","89",,,,,"30"
Investment & Precision Castings Ltd,INVPRECQ,"Auto Parts","222.375","440","82",,"93",,"54"
Ajanta Soya Ltd,AJANTSOY,"Agro Products","221.16725652","27.19","61","100","8",,"97"
Aries Agro Ltd,ARIES,"Fertilizers & Agro Chemicals","220.29350266","167.8","96","90","71",,"87"
Magna Electro Castings Ltd,MAGNAELQ,"Iron & Steel","220.02708696","506","50","60","55",,"35"
Premier Polyfilm Ltd,PREMIERPOL,"Home Furnishing","219.74971255","103.05","38","71","36","6.16666666666667","84"
Asian Hotels East Ltd,AHLEAST,"Hotels, Resorts & Cruise Lines","219.69099768","125.35","6",,"8","4.42222222222222","15"
Bafna Pharmaceuticals Ltd,BAFNAPH,"Pharmaceuticals","218.82109875","92.5",,"53",,"4.35285714285714","45"
Ambalal Sarabhai Enterprises Ltd,AMBALALSA,"Pharmaceuticals","218.78806008","28.38","42","100","9",,"14"
Neelamalai Agro Industries Ltd,NEAGI,"Agro Products","217.6594938","3499","36","99","7",,"6"
Eco Recycling Ltd,ECORECO,"Business Support Services","217.57085625","130.45","42","85","36",,"19"
DE Neers Tools Ltd,DENEERS,"Industrial Machinery","217.52676","251.7",,"37",,,"4"
Seacoast Shipping Services Ltd,SEACOAST,,"217.08804","3.99","6",,"29",,"58"
Total Transport Systems Ltd,TOTAL,"Logistics","215.94016846999997","133.9","27","68","31",,"59"
JK Agri Genetics Ltd,JK AGRI,"Seeds","215.87381246500001","465","8",,"9",,"17"
Almondz Global Securities Ltd,ALMONDZ,"Investment Banking & Brokerage","214.69122907","81.35","59","92","21","4.89333333333333","52"
LGB Forge Ltd,LGBFORGE,"Industrial Machinery","214.3822167","9.05","27",,"52","3.40196078431372","52"
VTM Ltd,VTMLTD,"Textiles","214.2924252","53.9","77",,"50",,"53"
Bedmutha Industries Ltd,BEDMUTHA,"Iron & Steel","214.07087034","68.15","72",,"37","2.53059701492537","89"
Mercantile Ventures Ltd,MERCANTILE,"Real Estate","213.76375245","19.5","49",,"34",,"20"
Rane Engine Valve Ltd,RANEENGINE,"Auto Parts","213.741972975","310.2","79","53","72","2.77627118644068","60"
GIR Natureview Resorts Ltd,GIRRESORTS,"Hotels, Resorts & Cruise Lines","213.50680175","119.95",,,,,
MBL Infrastructures Ltd,MBLINFRA,"Construction & Engineering","212.65188672","20.1","7",,"34","3.06746031746032","13"
Titan Biotech Ltd,TITANBIO,"Fertilizers & Agro Chemicals","211.715994","255.5","73","98","33",,"35"
Uni-Abex Alloy Products Ltd,UNIABEXAL,"Iron & Steel","211.591625","1070.05","94","81","93",,"80"
Pil Italica Lifestyle Ltd,PILITA,"Home Furnishing","211.5","8.95","21",,"37",,"53"
Batliboi Ltd,BATLIBOI,"Industrial Machinery","211.4022622","74.05","87","72","91",,"25"
TRF Ltd,TRF,"Industrial Machinery","211.2847104","187.8","37",,"47","1.51960784313726","1"
Dangee Dums Ltd,DANGEE,"FMCG - Foods","210.94575","13.5","2",,"2",,"53"
Indian Infotech and Software Ltd,INDINFO,"Consumer Finance","209.162616","2.07","17",,"28",,"39"
Future Consumer Ltd,FCONSUMER,"FMCG - Foods","208.58642175","1.05","34",,"2","1.25373134328358","60"
VETO Switch Gears And Cables Ltd,VETO,"Electrical Components & Equipments","208.3530095","107.05","73","98","42","5.25714285714286","27"
Deepak Spinners Ltd,DEEPAKSP,"Textiles","208.09625676","283","85","100","32",,"32"
Nettlinx Ltd,NETTLINX,"IT Services & Consulting","208.03984952000002","87.5","51",,"69",,"35"
Indrayani Biotech Ltd,INDRANIB,"Software Services","207.65637386400002","60.85","10",,"18",,"86"
Intrasoft Technologies Ltd,ISFT,"Retail - Online","207.12739267999999","139.75","67","91","35","4.39166666666667","53"
CG VAK Software and Exports Ltd,CGVAK,"Software Services","206.401674","441","26","83","5",,"12"
ABM Knowledgeware Ltd,ABMKNO,"Software Services","206.1626754","103","40","98","2",,"60"
R & B Denims Ltd,RNBDENIMS,"Textiles","205.7219136","30.87","45",,"18",,"23"
RDB Rasayans Ltd,RDBRL,"Packaging","205.580254","117.75","80","98","53",,"20"
SPML Infra Ltd,SPMLINFRA,"Construction & Engineering","205.46239957","41.95",,,,,"21"
Competent Automobiles Company Ltd,COMPEAU,"Retail - Speciality","204.87691","336.95","80","94","51",,"41"
Lancor Holdings Ltd,LANCORHOL,"Real Estate","204.849","51","64",,"70",,"83"
Deep Polymers Ltd,DEEP,"Specialty Chemicals","204.1397064","89.98","23","79","19",,"13"
Shree Vasu Logistics Ltd,SVLL,"Logistics","203.63616","177.95",,,,,"33"
Shri Keshav Cements and Infra Ltd,SKCIL,"Cement","203.50906128","134.7","53","67","40",,"13"
Duncan Engineering Ltd,DUNCANENG,"Auto Parts","203.07672","582.2","94","81","95",,"98"
GP Petroleums Ltd,GULFPETRO,"Commodity Chemicals","202.91784434000002","39.55","82","93","35","6.19285714285714","85"
Jay Jalaram Technologies Ltd,KORE,"Electrical Components & Equipments","202.1208","181.6",,,"58",,
Frontier Springs Ltd,FRONTSP,"Industrial Machinery","202.104691965","529.95","80","77","64",,"53"
Refex Renewables & Infrastructure Ltd,REFEXRENEW,,"201.14752","450","66",,"36",,"13"
Scan Steels Ltd,SCANSTL,"Iron & Steel","201.13713319000001","38.6","89","100","42",,"64"
KBC Global Ltd,KBCGLOBAL,"Real Estate","200.91904875","2.5","20",,"40",,"23"
B-Right RealEstate Ltd,BRRL,,"200.270312","183.3",,,,,"18"
Brooks Laboratories Ltd,BROOKS,"Labs & Life Sciences Services","199.84574908","81.8","1",,"2",,"1"
Precot Ltd,PRECOT,"Textiles","199.5","162.55","80","100","24",,"44"
Bharat Gears Ltd,BHARATGEAR,"Auto Parts","199.46220342","129.2","93","98","59",,"85"
Maheshwari Logistics Ltd,MAHESHWARI,"Logistics","198.342994235","67.25","65","93","34","4.32272727272727","20"
Maximus International Ltd,MAXIMUS,,"198.13472","15.56","5",,"20",,"41"
Future Retail Ltd,FRETAIL,"Retail - Department Stores","197.933688835","3.8",,,,,
Nila Infrastructures Ltd,NILAINFRA,"Real Estate","196.9446","5.05","54",,"30","3.42063492063492","79"
South India Paper Mills Ltd,STHINPA,"Paper Products","196.875","104","44","88","16",,"5"
Aksharchem (India) Ltd,AKSHARCHEM,"Specialty Chemicals","195.76662263","243.15","53","97","28","3.37352941176471","21"
Lorenzini Apparels Ltd,LAL,"Apparel & Accessories","195.52899506","194",,,,,"53"
Infinium Pharmachem Ltd,INFINIUM,"Commodity Chemicals","195.4519054","290.5",,"52",,,"95"
Indiabulls Enterprises Ltd,IEL,"Construction & Engineering","195.361942045","9.85",,,,,
Aarvi Encon Ltd,AARVI,"Outsourced services","194.26176","131.25","34","85","20",,"63"
ELGI Rubber Co Ltd,ELGIRUBCO,"Tires & Rubber","193.6935","38.35","88",,"84",,"29"
Panchsheel Organics Ltd,PANCHSHEEL,"Pharmaceuticals","193.63306125","164.75","10","71","3",,"38"
Josts Engineering Company Ltd,JOSTS,"Industrial Machinery","193.594469325","418","82","42","97",,"91"
Indian Acrylics Ltd,INDIANACRY,"Textiles","193.51069166","14.5","79",,"46",,"88"
Jasch Industries Ltd,JASCH,"Textiles","193.23315","168.25","61","97","29",,"35"
Mangal Credit and Fincorp Ltd,MANCREDIT,"Consumer Finance","193.13986","98","17","58","17",,"6"
SPL Industries Ltd,SPLIL,"Apparel & Accessories","192.99502662","66.45","82","98","46",,"87"
McLeod Russel India Ltd,MCLEODRUSS,"Tea & Coffee","192.720831075","18.3","53",,"16","1.64477611940299","28"
Eros International Media Ltd,EROSMEDIA,"Movies & TV Serials","192.307808595","20.1","32",,"2","4.19230769230769","36"
Atal Realtech Ltd,ATALREAL,"Construction & Engineering","192.12996","132.2",,,"83",,
Panasonic Carbon India Co Ltd,PANCARBON,"Batteries","191.856","394.15","62","93","29",,"53"
K I C Metaliks Ltd,KAJARIR,"Iron & Steel","190.365048","57.8","87","100","61",,"6"
Lloyds Luxuries Ltd,LLOYDS,"Wellness Services","190.0125","85.25",,,,,"7"
Bimetal Bearings Ltd,BIMETAL,"Industrial Machinery","189.892125","491","87","92","61",,"28"
Lotus Eye Hospital and Institute Ltd,LOTUSEYE,"Hospitals & Diagnostic Centres","189.55854795","90.7","9",,"21","5.45","23"
Magnum Ventures Ltd,MAGNUM,"Paper Products","189.39446064","38.75","87",,"79",,"67"
Bella Casa Fashion & Retail Ltd,BELLACASA,"Textiles","189.22275","163.05","49","88","35",,"28"
United Polyfab Gujarat Ltd,UNITEDPOLY,"Textiles","189.08773875","89.9","67","73","55",,"82"
Intense Technologies Ltd,INTENTECH,"IT Services & Consulting","189.08751058","85.9","50","99","5",,"65"
North Eastern Carrying Corporation Ltd,NECCLTD,"Logistics","188.36550255","19.4","4",,"9",,"19"
Aspinwall & Co Ltd,ASPINWALL,"Tea & Coffee","188.14710072","245.9","51","82","18",,"50"
Kanchi Karpooram Ltd,KANCHI,"Commodity Chemicals","187.677810655","448","71","100","26",,"35"
Hindustan Organic Chemicals Ltd,HOCL,"Commodity Chemicals","187.412949","28.02","13",,"36",,"32"
Emkay Global Financial Services Ltd,EMKAY,"Investment Banking & Brokerage","187.38894915","75.9","81","100","34","4.93333333333333","66"
Shree Rama Newsprint Ltd,RAMANEWS,"Paper Products","186.61537048","12.55","21",,"19",,"19"
Palred Technologies Ltd,PALREDTEC,"IT Services & Consulting","186.60779433","150.8","2",,"16","3.8","6"
Praxis Home Retail Ltd,PRAXIS,"Home Furnishing","186.18396916","14.9",,,,,
Avonmore Capital & Management Services Ltd,AVONMORE,"Investment Banking & Brokerage","186.0083973","80.65",,"100",,,"40"
Goyal Aluminiums Ltd,GOYALALUM,"Iron & Steel","184.8389501","12.95",,,,,"84"
V-Marc India Ltd,VMARCIND,"Electrical Components & Equipments","184.10842368","83.75","89",,"78",,"41"
Surat Textile Mills Ltd,SURATEX,"Textiles","183.86935632","8.16","4",,"17",,"39"
BSL Ltd,BSL,"Textiles","183.76665964","175.75","84","85","68","4.10491803278688","24"
DC Infotech and Communication Ltd,DCI,"IT Services & Consulting","183.72","157.05","51","29","61",,"96"
Nippon India ETF Nifty SDL-2026 Maturity,SDL26BEES,"Debt","183.7082079","114.34",,,,,
Lovable Lingerie Ltd,LOVABLE,"Apparel & Accessories","182.262","124.3","23","81","18","3.58676470588235","19"
Sadbhav Engineering Ltd,SADBHAV,"Construction & Engineering","181.865048","10.55","7",,"22","2.57142857142857","7"
Bhatia Communications & Retail (India) Ltd,BHATIA,"Retail - Speciality","181.220096","14.43","3",,"9",,"19"
Zodiac Energy Ltd,ZODIAC,"Renewable Energy Equipment & Services","181.0156528","123.7",,,,"5.68285714285714",
Tyche Industries Ltd,TYCHE,"Pharmaceuticals","180.86125","176.25","75","87","55",,"43"
Rajshree Polypack Ltd,RPPL,"Plastic Products","180.66522","156.35","47","78","37",,"6"
UMA Exports Ltd,UMAEXPORTS,"Agro Products","179.8682956","52.65","78","98","22",,"97"
TIL Ltd,TIL,"Heavy Machinery","179.491592175","178.95","39",,"65",,"32"
Paul Merchants Ltd,PML,"Consumer Finance","179.18554","1774","96","100","56",,"22"
Apollo Finvest (India) Ltd,APOLLOFI,"Diversified Financials","178.31443032","483.4",,,,,
Sprayking Agro Equipment Ltd,SPRAYKING,"Agricultural & Farm Machinery","178.12272983","176.95",,,,,"25"
Alphageo (India) Ltd,ALPHAGEO,"Oil & Gas - Equipment & Services","178.02253299","276.85","87","93","46","4.38125","85"
Basant Agro Tech (India) Ltd,BASANTGL,"Commodity Chemicals","177.7205275","19.74","30",,"29",,"23"
Manaksia Aluminium Co Ltd,MANAKALUCO,"Metals - Aluminium","177.26960525","26.2","77",,"61","5.00625","60"
Simplex Infrastructures Ltd,SIMPLEXINF,"Construction & Engineering","177.142742","30.85","6",,"16","1.85714285714286","15"
Ducon Infratechnologies Ltd,DUCON,"IT Services & Consulting","176.75951892","7.1","31",,"1","3.05","50"
Ruchi Infrastructure Ltd,RUCHINFRA,"Agro Products","176.71159244","8.2","53",,"17","6.9","10"
J C T Ltd,JCTLTD,"Textiles","176.271520642","2.05","50",,"19",,"62"
Modi Rubber Ltd,MODIRUBBER,"Tires & Rubber","175.53412932","72",,"100",,"5.875","1"
PNGS Gargi Fashion Jewellery Ltd,GARGI,,"175.2296546","187.3",,"23",,,"43"
Bhagyanagar India Ltd,BHAGYANGR,"Electrical Components & Equipments","175.01265","53.4","86","91","73","3.64285714285714","41"
Kimia Biosciences Ltd,KIMIABL,"Pharmaceuticals","174.347450585","35.6","2",,"3",,"53"
Smartlink Holdings Ltd,SMARTLINK,"Communication & Networking","174.113625","173.95","84","86","55","6.41","61"
Akshar Spintex Ltd,AKSHAR,"Textiles","173.74305","70.5","24",,"38","3.93770491803279","32"
Synoptics Technologies Ltd,SYNOPTICS,"IT Services & Consulting","173.6704","202.15",,,,,
Prima Plastics Ltd,PRIMAPLA,"Housewares","173.5874166","165.65","88","79","88",,"6"
Aveer Foods Ltd,AVEER,,"173.25511852","431",,,,,
Mangalam Drugs and Organics Ltd,MANGALAM,"Pharmaceuticals","172.132197","108.8","64","98","3","4.14928571428571","32"
Newtime Infrastructure Ltd,NEWINFRA,"Real Estate","170.857038","10.25",,,,,"60"
Texmo Pipes and Products Ltd,TEXMOPIPES,"Plastic Products","170.4988","58.5","78","97","28",,"43"
GEE Ltd,GEE,"Industrial Machinery","170.04253303800002","72.71","78","97","45",,"28"
Reliance Naval and Engineering Ltd,RNAVAL,"Shipbuilding","169.64599049","2.3",,,"55",,
Bombay Oxygen Investments Ltd,BOMOXY-B1,"Conglomerates","169.545","11198",,,,,
Jocil Ltd,JOCIL,"Commodity Chemicals","168.8306615","190.3","51","89","34","5.80535714285714","16"
Robust Hotels Ltd,RHL,"Hotels, Resorts & Cruise Lines","168.76695296","98.5",,"100",,,"15"
Visa Steel Ltd,VISASTEEL,"Iron & Steel","168.4737225","14.35","39",,"29",,"24"
Trident Lifeline Ltd,TLL,,"168.46328","146.5",,,,,"19"
IP Rings Ltd,IPRINGLTD,"Auto Parts","168.20872855","126.1","79","85","47",,"32"
Bodhi Tree Multimedia Ltd,BTML,"Movies & TV Serials","168.19616","134.8","7","58","18",,"10"
Inventure Growth & Securities Ltd,INVENTURE,"Investment Banking & Brokerage","168","1.95","46",,"19","4.28833333333333","62"
Asian Hotels (West) Ltd,AHLWEST,"Hotels, Resorts & Cruise Lines","167.95219215","144.15",,,,,
Aurangabad Distillery Ltd,AURDIS,"Alcoholic Beverages","167.936","203",,"74",,,"2"
Indianivesh Ltd,INDIANVSH,"Diversified Financials","167.42125","43.1","15",,"37",,"41"
Swadeshi Polytex Ltd,SWADPOL,,"166.92","42.05","82","99","40",,"73"
IVP Ltd,IVP,"Commodity Chemicals","166.820778765","161.55","89","100","53","3.49821428571429","89"
Naga Dhunseri Group Ltd,NDGL,"Investment Banking & Brokerage","166.585","1659.95","94","100","78",,"8"
A Infrastructure Ltd,KEIL,,"166.4888128","20.69","32",,"40",,"20"
Lambodhara Textiles Ltd,LAMBODHARA,"Textiles","166.249152","154.1","97","97","83","6.24672131147541","68"
Patels Airtemp (India) Ltd,PATELSAI,"Industrial Machinery","165.748272","311.65","79","94","56",,"9"
Surani Steel Tubes Ltd,SURANI,"Building Products - Pipes","165.68","210",,,,,
Infollion Research Services Ltd,INFOLLION,"Business Support Services","165.66600388","170.25",,,,,
International Combustion (India) Ltd,INTLCOMBQ,"Industrial Machinery","165.57441852","722.75","89","64","95",,"83"
Kifs Financial Services Ltd,KIFS,"Specialized Finance","165.40722","152.9","42","53","51",,"4"
DRC Systems India Ltd,DRCSYSTEMS,"Advertising","165.2912559","37.1","9",,"32","4.47954545454546","2"
Kakatiya Cement Sugar and Industries Ltd,KAKATCEM,"Cement","165.00013605","213.05","42","98","16","4.30945945945946","57"
Sicagen India Ltd,SICAGEN,"Building Products - Pipes","164.61820544","42.92","67",,"59",,"44"
Radhe Developers (India) Ltd,RADHEDE,"Real Estate","163.66935","3.25","19",,"7",,"15"
Pashupati Cotspin Ltd,PASHUPATI,"Textiles","163.5388","107",,,,,
Nippon India ETF PSU Bank BeES,PSUBNKBEES,"Equity","163.46488893","50.67",,,,,
SBEC Sugar Ltd,SBECSUG,"Sugar","163.4528084","35.9","56",,"36",,"93"
Debock Industries Ltd,DIL,"Agricultural & Farm Machinery","163.201207065","14.9",,,"61",,
Concord Control System Ltd,CNCRD,,"162.792","285.95",,"22",,,"43"
Jullundur Motor Agency (Delhi) Ltd,JMA,"Auto Parts","162.62830448","72.75","76","99","23","6.85","84"
Alphalogic Techsys Ltd,ALPHALOGIC,"Software Services","162.605582909","46","3",,"18",,"2"
DIGJAM Ltd,DIGJAMLMTD,"Textiles","162.6","82.25",,,,"1.86967213114754","8"
Scoobee Day Garments (India) Ltd,SCOOBEEDAY,,"162.0675","120.95","6",,"21",,"24"
Vipul Ltd,VIPULLTD,"Real Estate","161.3791256","13.5","26",,"39","1.69285714285714","45"
Udayshivakumar Infra Ltd,USK,"Construction & Engineering","161.36606892999998","29.25",,,,,"89"
Duroply Industries Ltd,DUROPLY,"Paper Products","161.32724517","208.9","64",,"46",,"77"
IL&FS Engineering and Construction Company Ltd,IL&FSENGG,"Construction & Engineering","161.27892594000002","12.9","26",,"17","1.8968253968254","1"
T T Ltd,TTL,"Textiles","161.12788475","74.55","61","94","20","3.5655737704918","92"
Majestic Auto Ltd,MAJESAUT,"Auto Parts","161.00494683","154.2","93","90","87",,"40"
Parshva Enterprises Ltd,PARSHVA,"Precious Metals, Jewellery & Watches","160.89648149","167.55","15",,"43",,"27"
Worth Peripherals Ltd,WORTH,"Packaging","160.738955","102.05","80","98","32",,"80"
Naysaa Securities Ltd,NAYSAA,"Investment Banking & Brokerage","160.484203125","148.9",,,,,"6"
DJ Mediaprint & Logistics Ltd,DJML,"Logistics","160.1978928","145.65",,"26",,,"16"
Reliance Home Finance Ltd,RHFL,"Home Financing","160.06940994","3.3","69",,"39",,"22"
Emmbi Industries Ltd,EMMBI,"Packaging","159.47760375","90.2","70","93","30","4.255","53"
Indowind Energy Ltd,INDOWIND,"Renewable Energy","159.3921483","13.4","6",,"2",,"7"
Chaman Metallics Ltd,CMNL,"Iron & Steel","159.2894424","63.9",,"81",,,"14"
SMS Lifesciences India Ltd,SMSLIFE,"Pharmaceuticals","158.919081155","524.5","39","98","1","3.78214285714286","11"
Valiant Communications Ltd,VALIANT,"Telecom Equipments","158.8800027","230.9","7",,"31",,"1"
Mahalaxmi Rubtech Ltd,MHLXMIRU,"Textiles","158.6669085","147.05","81","69","68",,"46"
Compucom Software Ltd,COMPUSOFT,"Education Services","158.64600194000002","20","21",,"2",,"1"
Krishna Defence & Allied Industries Ltd,KRISHNADEF,"Industrial Machinery","158.634","186.05",,,"89",,
Capital Trade Links Ltd,CTL,"Consumer Finance","158.48702","25.3","61",,"74",,"16"
Sundaram Brake Linings Ltd,SUNDRMBRAK,"Auto Parts","158.386316625","395.5","41",,"55","4.52203389830508","32"
