Company Name,Symbol,Industry
UNO Minda Ltd.,UNOMINDA,Automobile and Auto Components
UPL Ltd.,UPL,Chemicals
UTI Asset Management Company Ltd.,UTIAMC,Financial Services
UltraTech Cement Ltd.,ULTRACEMCO,Construction Materials
Union Bank of India,UNIONBANK,Financial Services
United Breweries Ltd.,UBL,Fast Moving Consumer Goods
United Spirits Ltd.,MCDOWELL-N,Fast Moving Consumer Goods
V-Guard Industries Ltd.,VGUARD,Consumer Durables
V-Mart Retail Ltd.,VMART,Consumer Services
V.I.P. Industries Ltd.,VIPIND,Consumer Durables
Vaibhav Global Ltd.,VAIBHAVGBL,Consumer Durables
Vardhman Textiles Ltd.,VTL,Textiles
Varroc Engineering Ltd.,VARROC,Automobile and Auto Components
Varun Beverages Ltd.,VBL,Fast Moving Consumer Goods
Vedant Fashions Ltd.,MANYAVAR,Consumer Services
Vedanta Ltd.,VEDL,Metals & Mining
Vijaya Diagnostic Centre Ltd.,VIJAYA,Healthcare
Vinati Organics Ltd.,VINATIORGA,Chemicals
Vodafone Idea Ltd.,IDEA,Telecommunication
Voltas Ltd.,VOLTAS,Consumer Durables
Welspun Corp Ltd.,WELCORP,Capital Goods
Welspun India Ltd.,WELSPUNIND,Textiles
Westlife Development Ltd.,WESTLIFE,Consumer Services
Whirlpool of India Ltd.,WHIRLPOOL,Consumer Durables
Wipro Ltd.,WIPRO,Information Technology
Yes Bank Ltd.,YESBANK,Financial Services
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Automobile and Auto Components
Zee Entertainment Enterprises Ltd.,ZEEL,Media Entertainment & Publication
Zensar Technolgies Ltd.,ZENSARTECH,Information Technology
Zomato Ltd.,ZOMATO,Consumer Services
Zydus Lifesciences Ltd.,ZYDUSLIFE,Healthcare
Zydus Wellness Ltd.,ZYDUSWELL,Fast Moving Consumer Goods
eClerx Services Ltd.,ECLERX,Services
